model,quantity
36033,{'stock': 'LARGE QUANTITY'}
36039,{'stock': 'MEDIUM QUANTITY'}
37111,{'stock': 'LARGE QUANTITY'}
37114,{'stock': 'MEDIUM QUANTITY'}
37300,{'stock': 'LARGE QUANTITY'}
37430,{'stock': 'LARGE QUANTITY'}
38407,{'stock': 'LARGE QUANTITY'}
38409,{'stock': 'LARGE QUANTITY'}
38525,{'stock': 'LARGE QUANTITY'}
38641,{'stock': 'LARGE QUANTITY'}
38750,{'stock': 'LARGE QUANTITY'}
39000,{'stock': 'LARGE QUANTITY'}
40013,{'stock': 'LARGE QUANTITY'}
40016,{'stock': 'LARGE QUANTITY'}
40017,{'stock': 'LARGE QUANTITY'}
40160,{'stock': 'OUT OF STOCK'}
41121,{'stock': 'LARGE QUANTITY'}
43020,{'stock': 'OUT OF STOCK'}
43063,{'stock': 'LARGE QUANTITY'}
44300,{'stock': 'LARGE QUANTITY'}
44330,{'stock': 'LARGE QUANTITY'}
45010,{'stock': 'LARGE QUANTITY'}
48080,{'stock': 'LARGE QUANTITY'}
48081,{'stock': 'LARGE QUANTITY'}
48100,{'stock': 'LARGE QUANTITY'}
49600,{'stock': 'LARGE QUANTITY'}
49771,{'stock': 'LARGE QUANTITY'}
49802,{'stock': 'OUT OF STOCK'}
50190,{'stock': 'LARGE QUANTITY'}
50861,{'stock': 'LARGE QUANTITY'}
38531,{'stock': 'LARGE QUANTITY'}
49900,{'stock': 'OUT OF STOCK'}
50100,{'stock': 'LARGE QUANTITY'}
50590,{'stock': 'LARGE QUANTITY'}
51110,{'stock': 'LARGE QUANTITY'}
51270,{'stock': 'SMALL QUANTITY'}
51590,{'stock': 'OUT OF STOCK'}
49785,{'stock': 'OUT OF STOCK'}
50880,{'stock': 'MEDIUM QUANTITY'}
51047,{'stock': 'OUT OF STOCK'}
51560,{'stock': 'LARGE QUANTITY'}
51681,{'stock': 'LARGE QUANTITY'}
51048,{'stock': 'LARGE QUANTITY'}
51676,{'stock': 'LARGE QUANTITY'}
51688,{'stock': 'LARGE QUANTITY'}
51690,{'stock': 'LARGE QUANTITY'}
51691,{'stock': 'LARGE QUANTITY'}
51705,{'stock': 'LARGE QUANTITY'}
52570,{'stock': 'OUT OF STOCK'}
52710,{'stock': 'OUT OF STOCK'}
52842,{'stock': 'OUT OF STOCK'}
52845,{'stock': 'OUT OF STOCK'}
52855,{'stock': 'OUT OF STOCK'}
53100,{'stock': 'LARGE QUANTITY'}
53120,{'stock': 'LARGE QUANTITY'}
53400,{'stock': 'LARGE QUANTITY'}
53420,{'stock': 'MEDIUM QUANTITY'}
53562,{'stock': 'OUT OF STOCK'}
53571,{'stock': 'LARGE QUANTITY'}
53190,{'stock': 'LARGE QUANTITY'}
53470,{'stock': 'LARGE QUANTITY'}
53580,{'stock': 'LARGE QUANTITY'}
53610,{'stock': 'LARGE QUANTITY'}
53670,{'stock': 'LARGE QUANTITY'}
54000,{'stock': 'LARGE QUANTITY'}
54510,{'stock': 'OUT OF STOCK'}
54811,{'stock': 'OUT OF STOCK'}
54813,{'stock': 'OUT OF STOCK'}
54816,{'stock': 'LARGE QUANTITY'}
54817,{'stock': 'OUT OF STOCK'}
54061,{'stock': 'OUT OF STOCK'}
54497,{'stock': 'MEDIUM QUANTITY'}
54851,{'stock': 'LARGE QUANTITY'}
54854,{'stock': 'LARGE QUANTITY'}
54871,{'stock': 'LARGE QUANTITY'}
54902,{'stock': 'OUT OF STOCK'}
55216,{'stock': 'LARGE QUANTITY'}
55221,{'stock': 'LARGE QUANTITY'}
55250,{'stock': 'OUT OF STOCK'}
55350,{'stock': 'LARGE QUANTITY'}
55542,{'stock': 'LARGE QUANTITY'}
55620,{'stock': 'OUT OF STOCK'}
56070,{'stock': 'LARGE QUANTITY'}
55820,{'stock': 'LARGE QUANTITY'}
56380,{'stock': 'LARGE QUANTITY'}
56392,{'stock': 'LARGE QUANTITY'}
56400,{'stock': 'LARGE QUANTITY'}
56478,{'stock': 'LARGE QUANTITY'}
56100,{'stock': 'LARGE QUANTITY'}
56980,{'stock': 'LARGE QUANTITY'}
57010,{'stock': 'LARGE QUANTITY'}
57451,{'stock': 'LARGE QUANTITY'}
57650,{'stock': 'OUT OF STOCK'}
57660,{'stock': 'LARGE QUANTITY'}
58538,{'stock': 'OUT OF STOCK'}
58691,{'stock': 'LARGE QUANTITY'}
60888,{'stock': 'LARGE QUANTITY'}
60910,{'stock': 'OUT OF STOCK'}
58450,{'stock': 'SMALL QUANTITY'}
58770,{'stock': 'LARGE QUANTITY'}
58456,{'stock': 'SMALL QUANTITY'}
60917,{'stock': 'LARGE QUANTITY'}
60950,{'stock': 'LARGE QUANTITY'}
60954,{'stock': 'LARGE QUANTITY'}
60955,{'stock': 'LARGE QUANTITY'}
60967,{'stock': 'LARGE QUANTITY'}
60976,{'stock': 'OUT OF STOCK'}
61100,{'stock': 'LARGE QUANTITY'}
61340,{'stock': 'LARGE QUANTITY'}
61384,{'stock': 'OUT OF STOCK'}
61385,{'stock': 'OUT OF STOCK'}
62162,{'stock': 'OUT OF STOCK'}
62165,{'stock': 'OUT OF STOCK'}
61170,{'stock': 'OUT OF STOCK'}
62175,{'stock': 'OUT OF STOCK'}
64090,{'stock': 'LARGE QUANTITY'}
64655,{'stock': 'LARGE QUANTITY'}
65041,{'stock': 'LARGE QUANTITY'}
65045,{'stock': 'LARGE QUANTITY'}
64658,{'stock': 'OUT OF STOCK'}
65458,{'stock': 'LARGE QUANTITY'}
65453,{'stock': 'OUT OF STOCK'}
65481,{'stock': 'MEDIUM QUANTITY'}
65640,{'stock': 'OUT OF STOCK'}
65800,{'stock': 'LARGE QUANTITY'}
66400,{'stock': 'LARGE QUANTITY'}
66902,{'stock': 'LARGE QUANTITY'}
66933,{'stock': 'MEDIUM QUANTITY'}
67054,{'stock': 'OUT OF STOCK'}
67094,{'stock': 'OUT OF STOCK'}
67160,{'stock': 'LARGE QUANTITY'}
67164,{'stock': 'MEDIUM QUANTITY'}
67203,{'stock': 'MEDIUM QUANTITY'}
67222,{'stock': 'LARGE QUANTITY'}
67420,{'stock': 'LARGE QUANTITY'}
67442,{'stock': 'LARGE QUANTITY'}
67450,{'stock': 'SMALL QUANTITY'}
67528,{'stock': 'LARGE QUANTITY'}
67561,{'stock': 'LARGE QUANTITY'}
67586,{'stock': 'LARGE QUANTITY'}
67599,{'stock': 'LARGE QUANTITY'}
67640,{'stock': 'LARGE QUANTITY'}
67702,{'stock': 'MEDIUM QUANTITY'}
67056,{'stock': 'OUT OF STOCK'}
67166,{'stock': 'OUT OF STOCK'}
67116,{'stock': 'OUT OF STOCK'}
67172,{'stock': 'LARGE QUANTITY'}
67260,{'stock': 'OUT OF STOCK'}
67883,{'stock': 'LARGE QUANTITY'}
67902,{'stock': 'LARGE QUANTITY'}
67920,{'stock': 'MEDIUM QUANTITY'}
68172,{'stock': 'MEDIUM QUANTITY'}
68217,{'stock': 'OUT OF STOCK'}
67521,{'stock': 'OUT OF STOCK'}
67571,{'stock': 'OUT OF STOCK'}
68361,{'stock': 'OUT OF STOCK'}
68195,{'stock': 'OUT OF STOCK'}
68224,{'stock': 'LARGE QUANTITY'}
68471,{'stock': 'OUT OF STOCK'}
68478,{'stock': 'LARGE QUANTITY'}
68480,{'stock': 'OUT OF STOCK'}
68502,{'stock': 'OUT OF STOCK'}
68792,{'stock': 'MEDIUM QUANTITY'}
69304,{'stock': 'OUT OF STOCK'}
69305,{'stock': 'LARGE QUANTITY'}
69308,{'stock': 'OUT OF STOCK'}
69318,{'stock': 'OUT OF STOCK'}
69340,{'stock': 'LARGE QUANTITY'}
69346,{'stock': 'LARGE QUANTITY'}
69395,{'stock': 'LARGE QUANTITY'}
69401,{'stock': 'OUT OF STOCK'}
69404,{'stock': 'OUT OF STOCK'}
69406,{'stock': 'OUT OF STOCK'}
69467,{'stock': 'SMALL QUANTITY'}
69504,{'stock': 'SMALL QUANTITY'}
69507,{'stock': 'MEDIUM QUANTITY'}
69572,{'stock': 'LARGE QUANTITY'}
69543,{'stock': 'LARGE QUANTITY'}
69621,{'stock': 'OUT OF STOCK'}
69613,{'stock': 'LARGE QUANTITY'}
70020,{'stock': 'LARGE QUANTITY'}
70160,{'stock': 'OUT OF STOCK'}
70340,{'stock': 'LARGE QUANTITY'}
70410,{'stock': 'LARGE QUANTITY'}
70500,{'stock': 'OUT OF STOCK'}
70202,{'stock': 'MEDIUM QUANTITY'}
71635,{'stock': 'SMALL QUANTITY'}
71803,{'stock': 'LARGE QUANTITY'}
71809,{'stock': 'LARGE QUANTITY'}
71808,{'stock': 'MEDIUM QUANTITY'}
71824,{'stock': 'LARGE QUANTITY'}
71817,{'stock': 'LARGE QUANTITY'}
71847,{'stock': 'LARGE QUANTITY'}
71848,{'stock': 'LARGE QUANTITY'}
71849,{'stock': 'LARGE QUANTITY'}
71982,{'stock': 'LARGE QUANTITY'}
72018,{'stock': 'SMALL QUANTITY'}
72000,{'stock': 'SMALL QUANTITY'}
72017,{'stock': 'SMALL QUANTITY'}
72020,{'stock': 'SMALL QUANTITY'}
72060,{'stock': 'LARGE QUANTITY'}
72341,{'stock': 'OUT OF STOCK'}
72342,{'stock': 'OUT OF STOCK'}
72353,{'stock': 'LARGE QUANTITY'}
72357,{'stock': 'SMALL QUANTITY'}
72371,{'stock': 'LARGE QUANTITY'}
72373,{'stock': 'OUT OF STOCK'}
72407,{'stock': 'LARGE QUANTITY'}
72451,{'stock': 'OUT OF STOCK'}
72525,{'stock': 'LARGE QUANTITY'}
72572,{'stock': 'OUT OF STOCK'}
72508,{'stock': 'LARGE QUANTITY'}
72441,{'stock': 'LARGE QUANTITY'}
72570,{'stock': 'OUT OF STOCK'}
72801,{'stock': 'OUT OF STOCK'}
72805,{'stock': 'OUT OF STOCK'}
72824,{'stock': 'OUT OF STOCK'}
72872,{'stock': 'OUT OF STOCK'}
72934,{'stock': 'LARGE QUANTITY'}
72938,{'stock': 'MEDIUM QUANTITY'}
72969,{'stock': 'LARGE QUANTITY'}
72975,{'stock': 'LARGE QUANTITY'}
72954,{'stock': 'LARGE QUANTITY'}
73051,{'stock': 'LARGE QUANTITY'}
73060,{'stock': 'LARGE QUANTITY'}
73052,{'stock': 'LARGE QUANTITY'}
73325,{'stock': 'LARGE QUANTITY'}
73340,{'stock': 'LARGE QUANTITY'}
73343,{'stock': 'LARGE QUANTITY'}
73352,{'stock': 'LARGE QUANTITY'}
73573,{'stock': 'OUT OF STOCK'}
73784,{'stock': 'LARGE QUANTITY'}
73804,{'stock': 'LARGE QUANTITY'}
73805,{'stock': 'LARGE QUANTITY'}
73806,{'stock': 'LARGE QUANTITY'}
73845,{'stock': 'LARGE QUANTITY'}
73855,{'stock': 'LARGE QUANTITY'}
73929,{'stock': 'LARGE QUANTITY'}
73808,{'stock': 'LARGE QUANTITY'}
73931,{'stock': 'SMALL QUANTITY'}
73942,{'stock': 'MEDIUM QUANTITY'}
73943,{'stock': 'SMALL QUANTITY'}
73950,{'stock': 'LARGE QUANTITY'}
73955,{'stock': 'LARGE QUANTITY'}
73961,{'stock': 'LARGE QUANTITY'}
73963,{'stock': 'LARGE QUANTITY'}
73966,{'stock': 'MEDIUM QUANTITY'}
