model,quantity
YT-0640,100
YT-0641,100
YT-0642,100
YT-05602,100
YT-0593,100
YT-0596,100
YT-0628,100
YT-060175,100
YT-061602,100
YT-06651,0
YT-06782,100
YT-06833,0
YT-0684,100
YT-06862,100
YT-06864,0
YT-068641,100
YT-068671,0
YT-068684,100
YT-068685,100
YT-06876,100
YT-06879,100
YT-068920,100
YT-0692,100
YT-06987,100
YT-06995,100
YT-07057,100
YT-0708,100
YT-07191,0
YT-07195,20
YT-07200,100
YT-0730,100
YT-0754,20
YT-07609,100
YT-07677,20
YT-07741,100
YT-07831,0
YT-08146,100
YT-08195,100
YT-0820,100
YT-0821,20
YT-0823,100
YT-08231,0
YT-08353,100
YT-08403,100
YT-0842,100
YT-08462,100
YT-0646,100
YT-06885,100
YT-06983,100
YT-07732,0
YT-07873,0
YT-0817,100
YT-08164,0
YT-068668,100
YT-06992,0
YT-07067,100
YT-08507,100
YT-08510,0
YT-08513,100
YT-08551,100
YT-08555,0
YT-08598,100
YT-0863,100
YT-08577,0
YT-08677,100
YT-08721,100
YT-08883,100
YT-088970,100
YT-088982,100
YT-088992,100
YT-08901,100
YT-08917,100
YT-08977,100
YT-08678,100
YT-0914,20
YT-09164,100
YT-09177,100
YT-09181,0
YT-09182,20
YT-09211,0
YT-09212,0
YT-09524,0
YT-09540,100
YT-09611,0
YT-09617,20
YT-09741,100
YT-09744,100
YT-09803,100
YT-09910,100
YT-09912,100
YT-0993,0
YT-09945,100
YT-09955,100
YT-1001,100
YT-1003,100
YT-1008,100
YT-10251,100
YT-10295,0
YT-1036,100
YT-10556,0
YT-10563,100
YT-10572,0
YT-10583,100
YT-10593,100
YT-10657,0
YT-10668,0
YT-1074,100
YT-1079,100
YT-1082,100
YT-1088,100
YT-1091,100
YT-1132,100
YT-1160,100
YT-1162,100
YT-1163,100
YT-1169,100
YT-1194,100
YT-1209,100
YT-08920,20
YT-08921,0
YT-0936,0
YT-1068,100
YT-1119,100
YT-1164,100
YT-11736,0
YT-1222,100
YT-09032,0
YT-10630,0
YT-10664,100
YT-09911,100
YT-12007,100
YT-1208,100
YT-1214,100
YT-1221,100
YT-1248,100
YT-1275,100
YT-1276,100
YT-1279,100
YT-1204,100
YT-1254,100
YT-1285,100
YT-12939,100
YT-1295Z,0
YT-1342,100
YT-1347,100
YT-13475,100
YT-12946,100
YT-1400,100
YT-14121,0
YT-14127,100
YT-1425,100
YT-1462,100
YT-15274,0
YT-15275,100
YT-15278,100
YT-1554,0
YT-1557,20
YT-1576,100
YT-1578,0
YT-1601,100
YT-1602,100
YT-1609,100
YT-1615,20
YT-1616,100
YT-1617,100
YT-1619,100
YT-1620,20
YT-1621,100
YT-1644,0
YT-1652,100
YT-16973,100
YT-17005,100
YT-17045,20
YT-1720,0
YT-17228,0
YT-172601,20
YT-17490,20
YT-17580,100
YT-17618,0
YT-176821,100
YT-17687,0
YT-1769,100
YT-1845,20
YT-1856,100
YT-18600,100
YT-18602,100
YT-18610,100
YT-18612,100
YT-1900,100
YT-1961,100
YT-1963,100
YT-1988,100
YT-19952,100
YT-17207,20
YT-1922,100
YT-1951,100
YT-19979,100
YT-19984,100
YT-19993,100
YT-19995,100
YT-2028,100
YT-2030,100
YT-2046,100
YT-2070,100
YT-2072,100
YT-20951,0
YT-2082,100
YT-2083,100
YT-2086,100
YT-20916,0
YT-20961,100
YT-20980,20
YT-20983,20
YT-20992,100
YT-20998,20
YT-21008,0
YT-21034,20
YT-21032,100
YT-21042,0
YT-21083,100
YT-21081,20
YT-21085,0
YT-21141,0
YT-21210,100
YT-2142,100
YT-21744,100
YT-21751,100
YT-21754,0
YT-21826,100
YT-2172,100
YT-21755,100
YT-21845,100
YT-21747,100
YT-22123,100
YT-22293,100
YT-22343,100
YT-22344,100
YT-22345,100
YT-22363,100
YT-22366,100
YT-2240,100
YT-2249,0
YT-2250,100
YT-2262,0
YT-2266,0
